User,CaseStatus,DokumentType,Parent,Creator,Action,Access
ROL,FULLFOERT,ROL_QUESTIONS,NONE,KABAL_SAKSBEHANDLING,REMOVE,NOT_ASSIGNED
ROL,FULLFOERT,ROL_QUESTIONS,NONE,KABAL_SAKSBEHANDLING,RENAME,NOT_ASSIGNED
ROL,FULLFOERT,ROL_QUESTIONS,NONE,KABAL_SAKSBEHANDLING,WRITE,NOT_ASSIGNED_OR_MU
ROL,FULLFOERT,ROL_QUESTIONS,NONE,NONE,CHANGE_TYPE,NOT_SUPPORTED_ROL_QUESTIONS
ROL,FULLFOERT,ROL_QUESTIONS,NONE,NONE,FINISH,NOT_ASSIGNED
ROL,FULLFOERT,ROL_QUESTIONS,NONE,NONE,REMOVE,NOT_ASSIGNED
ROL,FULLFOERT,ROL_QUESTIONS,NONE,NONE,RENAME,NOT_ASSIGNED
ROL,FULLFOERT,ROL_QUESTIONS,NONE,NONE,WRITE,NOT_ASSIGNED_OR_MU
ROL,FULLFOERT,SMART_DOCUMENT,NONE,KABAL_MEDUNDERSKRIVER,CHANGE_TYPE,ROL_USER
ROL,FULLFOERT,SMART_DOCUMENT,NONE,KABAL_MEDUNDERSKRIVER,FINISH,ROL_USER
ROL,FULLFOERT,SMART_DOCUMENT,NONE,KABAL_MEDUNDERSKRIVER,REMOVE,ROL_USER
ROL,FULLFOERT,SMART_DOCUMENT,NONE,KABAL_MEDUNDERSKRIVER,RENAME,ROL_USER
ROL,FULLFOERT,SMART_DOCUMENT,NONE,KABAL_MEDUNDERSKRIVER,WRITE,ROL_USER
ROL,FULLFOERT,SMART_DOCUMENT,NONE,KABAL_ROL,CHANGE_TYPE,ROL_USER
ROL,FULLFOERT,SMART_DOCUMENT,NONE,KABAL_ROL,FINISH,ROL_USER
ROL,FULLFOERT,SMART_DOCUMENT,NONE,KABAL_ROL,REMOVE,ROL_USER
ROL,FULLFOERT,SMART_DOCUMENT,NONE,KABAL_ROL,RENAME,ROL_USER
ROL,FULLFOERT,SMART_DOCUMENT,NONE,KABAL_ROL,WRITE,ROL_USER
ROL,FULLFOERT,SMART_DOCUMENT,NONE,KABAL_SAKSBEHANDLING,CHANGE_TYPE,ROL_USER
ROL,FULLFOERT,SMART_DOCUMENT,NONE,KABAL_SAKSBEHANDLING,FINISH,ROL_USER
ROL,FULLFOERT,SMART_DOCUMENT,NONE,KABAL_SAKSBEHANDLING,REMOVE,ROL_USER
ROL,FULLFOERT,SMART_DOCUMENT,NONE,KABAL_SAKSBEHANDLING,RENAME,ROL_USER
ROL,FULLFOERT,SMART_DOCUMENT,NONE,KABAL_SAKSBEHANDLING,WRITE,ROL_USER
ROL,FULLFOERT,SMART_DOCUMENT,NONE,NONE,CHANGE_TYPE,ROL_USER
ROL,FULLFOERT,SMART_DOCUMENT,NONE,NONE,CREATE,ROL_USER
ROL,FULLFOERT,SMART_DOCUMENT,NONE,NONE,FINISH,ROL_USER
ROL,FULLFOERT,SMART_DOCUMENT,NONE,NONE,REMOVE,ROL_USER
ROL,FULLFOERT,SMART_DOCUMENT,NONE,NONE,RENAME,ROL_USER
ROL,FULLFOERT,SMART_DOCUMENT,NONE,NONE,WRITE,ROL_USER
ROL,FULLFOERT,UPLOADED,NONE,KABAL_MEDUNDERSKRIVER,CHANGE_TYPE,ROL_USER
ROL,FULLFOERT,UPLOADED,NONE,KABAL_MEDUNDERSKRIVER,FINISH,ROL_USER
ROL,FULLFOERT,UPLOADED,NONE,KABAL_MEDUNDERSKRIVER,REMOVE,ROL_USER
ROL,FULLFOERT,UPLOADED,NONE,KABAL_MEDUNDERSKRIVER,RENAME,ROL_USER
ROL,FULLFOERT,UPLOADED,NONE,KABAL_MEDUNDERSKRIVER,WRITE,NOT_SUPPORTED_UPLOADED
ROL,FULLFOERT,UPLOADED,NONE,KABAL_ROL,CHANGE_TYPE,ROL_USER
ROL,FULLFOERT,UPLOADED,NONE,KABAL_ROL,FINISH,ROL_USER
ROL,FULLFOERT,UPLOADED,NONE,KABAL_ROL,REMOVE,ROL_USER
ROL,FULLFOERT,UPLOADED,NONE,KABAL_ROL,RENAME,ROL_USER
ROL,FULLFOERT,UPLOADED,NONE,KABAL_ROL,WRITE,NOT_SUPPORTED_UPLOADED
ROL,FULLFOERT,UPLOADED,NONE,KABAL_SAKSBEHANDLING,CHANGE_TYPE,ROL_USER
ROL,FULLFOERT,UPLOADED,NONE,KABAL_SAKSBEHANDLING,FINISH,ROL_USER
ROL,FULLFOERT,UPLOADED,NONE,KABAL_SAKSBEHANDLING,REMOVE,ROL_USER
ROL,FULLFOERT,UPLOADED,NONE,KABAL_SAKSBEHANDLING,RENAME,ROL_USER
ROL,FULLFOERT,UPLOADED,NONE,KABAL_SAKSBEHANDLING,WRITE,NOT_SUPPORTED_UPLOADED
ROL,FULLFOERT,UPLOADED,NONE,NONE,CHANGE_TYPE,ROL_USER
ROL,FULLFOERT,UPLOADED,NONE,NONE,CREATE,ROL_USER
ROL,FULLFOERT,UPLOADED,NONE,NONE,FINISH,ROL_USER
ROL,FULLFOERT,UPLOADED,NONE,NONE,REMOVE,ROL_USER
ROL,FULLFOERT,UPLOADED,NONE,NONE,RENAME,ROL_USER
ROL,FULLFOERT,UPLOADED,NONE,NONE,WRITE,NOT_SUPPORTED_UPLOADED
ROL,FULLFOERT,UPLOADED,UPLOADED,KABAL_MEDUNDERSKRIVER,CHANGE_TYPE,NOT_SUPPORTED_ATTACHMENT
ROL,FULLFOERT,UPLOADED,UPLOADED,KABAL_MEDUNDERSKRIVER,FINISH,NOT_SUPPORTED_ATTACHMENT
ROL,FULLFOERT,UPLOADED,UPLOADED,KABAL_MEDUNDERSKRIVER,REMOVE,ROL_USER
ROL,FULLFOERT,UPLOADED,UPLOADED,KABAL_MEDUNDERSKRIVER,RENAME,ROL_USER
ROL,FULLFOERT,UPLOADED,UPLOADED,KABAL_MEDUNDERSKRIVER,WRITE,NOT_SUPPORTED_UPLOADED
ROL,FULLFOERT,UPLOADED,UPLOADED,KABAL_ROL,CHANGE_TYPE,NOT_SUPPORTED_ATTACHMENT
ROL,FULLFOERT,UPLOADED,UPLOADED,KABAL_ROL,FINISH,NOT_SUPPORTED_ATTACHMENT
ROL,FULLFOERT,UPLOADED,UPLOADED,KABAL_ROL,REMOVE,ROL_USER
ROL,FULLFOERT,UPLOADED,UPLOADED,KABAL_ROL,RENAME,ROL_USER
ROL,FULLFOERT,UPLOADED,UPLOADED,KABAL_ROL,WRITE,NOT_SUPPORTED_UPLOADED
ROL,FULLFOERT,UPLOADED,UPLOADED,KABAL_SAKSBEHANDLING,CHANGE_TYPE,NOT_SUPPORTED_ATTACHMENT
ROL,FULLFOERT,UPLOADED,UPLOADED,KABAL_SAKSBEHANDLING,FINISH,NOT_SUPPORTED_ATTACHMENT
ROL,FULLFOERT,UPLOADED,UPLOADED,KABAL_SAKSBEHANDLING,REMOVE,ROL_USER
ROL,FULLFOERT,UPLOADED,UPLOADED,KABAL_SAKSBEHANDLING,RENAME,ROL_USER
ROL,FULLFOERT,UPLOADED,UPLOADED,KABAL_SAKSBEHANDLING,WRITE,NOT_SUPPORTED_UPLOADED
ROL,FULLFOERT,UPLOADED,UPLOADED,NONE,CHANGE_TYPE,NOT_SUPPORTED_ATTACHMENT
ROL,FULLFOERT,UPLOADED,UPLOADED,NONE,CREATE,ROL_USER
ROL,FULLFOERT,UPLOADED,UPLOADED,NONE,FINISH,NOT_SUPPORTED_ATTACHMENT
ROL,FULLFOERT,UPLOADED,UPLOADED,NONE,REMOVE,ROL_USER
ROL,FULLFOERT,UPLOADED,UPLOADED,NONE,RENAME,ROL_USER
ROL,FULLFOERT,UPLOADED,UPLOADED,NONE,WRITE,NOT_SUPPORTED_UPLOADED
ROL,LEDIG,JOURNALFOERT,ROL_QUESTIONS,KABAL_MEDUNDERSKRIVER,CHANGE_TYPE,NOT_SUPPORTED_ATTACHMENT
ROL,LEDIG,JOURNALFOERT,ROL_QUESTIONS,KABAL_MEDUNDERSKRIVER,FINISH,NOT_SUPPORTED_ATTACHMENT
ROL,LEDIG,JOURNALFOERT,ROL_QUESTIONS,KABAL_MEDUNDERSKRIVER,REMOVE,NOT_ASSIGNED_OR_ROL
ROL,LEDIG,JOURNALFOERT,ROL_QUESTIONS,KABAL_MEDUNDERSKRIVER,RENAME,NOT_SUPPORTED_JOURNALFOERT
ROL,LEDIG,JOURNALFOERT,ROL_QUESTIONS,KABAL_MEDUNDERSKRIVER,WRITE,NOT_SUPPORTED_JOURNALFOERT
ROL,LEDIG,JOURNALFOERT,ROL_QUESTIONS,KABAL_ROL,CHANGE_TYPE,NOT_SUPPORTED_ATTACHMENT
ROL,LEDIG,JOURNALFOERT,ROL_QUESTIONS,KABAL_ROL,FINISH,NOT_SUPPORTED_ATTACHMENT
ROL,LEDIG,JOURNALFOERT,ROL_QUESTIONS,KABAL_ROL,REMOVE,NOT_ASSIGNED_OR_ROL
ROL,LEDIG,JOURNALFOERT,ROL_QUESTIONS,KABAL_ROL,RENAME,NOT_SUPPORTED_JOURNALFOERT
ROL,LEDIG,JOURNALFOERT,ROL_QUESTIONS,KABAL_ROL,WRITE,NOT_SUPPORTED_JOURNALFOERT
ROL,LEDIG,JOURNALFOERT,ROL_QUESTIONS,KABAL_SAKSBEHANDLING,CHANGE_TYPE,NOT_SUPPORTED_ATTACHMENT
ROL,LEDIG,JOURNALFOERT,ROL_QUESTIONS,KABAL_SAKSBEHANDLING,FINISH,NOT_SUPPORTED_ATTACHMENT
ROL,LEDIG,JOURNALFOERT,ROL_QUESTIONS,KABAL_SAKSBEHANDLING,REMOVE,NOT_ASSIGNED_OR_ROL
ROL,LEDIG,JOURNALFOERT,ROL_QUESTIONS,KABAL_SAKSBEHANDLING,RENAME,NOT_SUPPORTED_JOURNALFOERT
ROL,LEDIG,JOURNALFOERT,ROL_QUESTIONS,KABAL_SAKSBEHANDLING,WRITE,NOT_SUPPORTED_JOURNALFOERT
ROL,LEDIG,JOURNALFOERT,ROL_QUESTIONS,NONE,CHANGE_TYPE,NOT_SUPPORTED_ATTACHMENT
ROL,LEDIG,JOURNALFOERT,ROL_QUESTIONS,NONE,CREATE,NOT_ASSIGNED_OR_ROL
ROL,LEDIG,JOURNALFOERT,ROL_QUESTIONS,NONE,FINISH,NOT_SUPPORTED_ATTACHMENT
ROL,LEDIG,JOURNALFOERT,ROL_QUESTIONS,NONE,REMOVE,NOT_ASSIGNED_OR_ROL
ROL,LEDIG,JOURNALFOERT,ROL_QUESTIONS,NONE,RENAME,NOT_SUPPORTED_JOURNALFOERT
ROL,LEDIG,JOURNALFOERT,ROL_QUESTIONS,NONE,WRITE,NOT_SUPPORTED_JOURNALFOERT
ROL,LEDIG,JOURNALFOERT,SMART_DOCUMENT,KABAL_MEDUNDERSKRIVER,CHANGE_TYPE,NOT_SUPPORTED_ATTACHMENT
ROL,LEDIG,JOURNALFOERT,SMART_DOCUMENT,KABAL_MEDUNDERSKRIVER,FINISH,NOT_SUPPORTED_ATTACHMENT
ROL,LEDIG,JOURNALFOERT,SMART_DOCUMENT,KABAL_MEDUNDERSKRIVER,REMOVE,NOT_ASSIGNED
ROL,LEDIG,JOURNALFOERT,SMART_DOCUMENT,KABAL_MEDUNDERSKRIVER,RENAME,NOT_SUPPORTED_JOURNALFOERT
ROL,LEDIG,JOURNALFOERT,SMART_DOCUMENT,KABAL_MEDUNDERSKRIVER,WRITE,NOT_SUPPORTED_JOURNALFOERT
ROL,LEDIG,JOURNALFOERT,SMART_DOCUMENT,KABAL_ROL,CHANGE_TYPE,NOT_SUPPORTED_ATTACHMENT
